Time Slot,Room,Class
7:30-8:30,IS101,CKR - 20IS630 - ISE-6
7:30-8:30,IS002,SP - 20CB630 - CSBS-6
7:30-8:30,IS103,No class scheduled
7:30-8:30,IS001,No class scheduled
7:30-8:30,ISLAB1,SAS + MPS - B1-22IS46L - ISE-4B
7:30-8:30,ISLAB2,TM + VL - B1-22CB230L - CSBS-2
8:30-9:30,IS101,LMS - 20IS610 - ISE-6
8:30-9:30,IS002,SN - 20CB673 - CSBS-6
8:30-9:30,IS103,AHK - 22MA412 - ISE-4A [PRE-ALLOTTED]
8:30-9:30,IS001,No class scheduled
8:30-9:30,ISLAB1,SAS + MPS - B1-22IS46L - ISE-4B
8:30-9:30,ISLAB2,TM + VL - B1-22CB230L - CSBS-2
9:30-10:30,IS101,SG - 20IS642 - ISE-6
9:30-10:30,IS002,SP - 20CB630 - CSBS-6
9:30-10:30,IS103,No class scheduled
9:30-10:30,IS001,No class scheduled
9:30-10:30,ISLAB1,SAS + MPS - B1-22IS46L - ISE-4B
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,MN - 20IS620 - ISE-6
11:00-11:50,IS002,AHK - 22MA412 - ISE-4B [PRE-ALLOTTED]
11:00-11:50,IS103,CSB - 20HU412 - CSBS-4 [PRE-ALLOTTED]
11:00-11:50,IS001,SN - 20CB673 - CSBS-6
11:00-11:50,ISLAB1,VL + NA - B1-22IS46L - ISE-4A
11:00-11:50,ISLAB2,RMN + MPS - B2-22CB240L - CSBS-2
11:50-12:40,IS101,SG - 20IS642 - ISE-6
11:50-12:40,IS002,TM - 22IS450 - ISE-4B
11:50-12:40,IS103,VA - 22CB440 - CSBS-4
11:50-12:40,IS001,SP - 20CB630 - CSBS-6
11:50-12:40,ISLAB1,VL + NA - B1-22IS46L - ISE-4A
11:50-12:40,ISLAB2,RMN + MPS - B2-22CB240L - CSBS-2
12:40-13:30,IS101,TM - 22IS450 - ISE-4B
12:40-13:30,IS002,VA - 22CB440 - CSBS-4
12:40-13:30,IS103,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
12:40-13:30,IS001,SG - 20IS642 - ISE-6
12:40-13:30,ISLAB1,VL + NA - B1-22IS46L - ISE-4A
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,No class scheduled
14:30-15:30,IS002,TM - 22CB230 - CSBS-2
14:30-15:30,IS103,RJP - 22CB420 - CSBS-4
14:30-15:30,IS001,No class scheduled
14:30-15:30,ISLAB1,MPS + TSK - B1-22IS47L - ISE-4A
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,No class scheduled
15:30-16:30,IS002,RMN - 22CB240 - CSBS-2
15:30-16:30,IS103,PMKS - 22CB430 - CSBS-4
15:30-16:30,IS001,No class scheduled
15:30-16:30,ISLAB1,MPS + TSK - B1-22IS47L - ISE-4A
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,No class scheduled
16:30-17:30,IS002,RMN - 22CB240 - CSBS-2
16:30-17:30,IS103,VA - 22CB440 - CSBS-4
16:30-17:30,IS001,No class scheduled
16:30-17:30,ISLAB1,MPS + TSK - B1-22IS47L - ISE-4A
16:30-17:30,ISLAB2,No class scheduled
