Time Slot,Room,Class
7:30-8:30,IS101,VBK - 22CB410 - CSBS-4
7:30-8:30,IS002,NA - 22IS440 - ISE-4A
7:30-8:30,IS103,RSA - 22IS430 - ISE-4B
7:30-8:30,IS001,LMS - 22CB250 - CSBS-2
7:30-8:30,ISLAB1,UKK + TM - 22CB610L - CSBS-6
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,PM - 22CB470 - CSBS-4 [PRE-ALLOTTED]
8:30-9:30,IS002,RSA - 22IS430 - ISE-4A
8:30-9:30,IS103,No class scheduled
8:30-9:30,IS001,DSV - 22CB210 - CSBS-2
8:30-9:30,ISLAB1,UKK + TM - 22CB610L - CSBS-6
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,PM - 22CB470 - CSBS-4 [PRE-ALLOTTED]
9:30-10:30,IS002,VL - 22IS410 - ISE-4A
9:30-10:30,IS103,No class scheduled
9:30-10:30,IS001,TM - 22CB230 - CSBS-2
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,PMKS - 22CB430 - CSBS-4
11:00-11:50,IS002,NA - 22IS440 - ISE-4B
11:00-11:50,IS103,No class scheduled
11:00-11:50,IS001,RMN - 22CB240 - CSBS-2
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,SG - 22CB450 - CSBS-4
11:50-12:40,IS002,TSK - 22IS420 - ISE-4A
11:50-12:40,IS103,No class scheduled
11:50-12:40,IS001,LMS - 20IS610 - ISE-6
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,MDL - 20HU612 - CSBS-6 [PRE-ALLOTTED]
12:40-13:30,IS002,CSB - 22HU412 - ISE-4A [PRE-ALLOTTED]
12:40-13:30,IS103,No class scheduled
12:40-13:30,IS001,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,SG - 22CB450 - CSBS-4
14:30-15:30,IS002,NA - 22IS440 - ISE-4B
14:30-15:30,IS103,No class scheduled
14:30-15:30,IS001,LMS - 20IS610 - ISE-6
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,SN - 20CB673 - CSBS-6
15:30-16:30,IS002,MPS - 22IS450 - ISE-4A
15:30-16:30,IS103,No class scheduled
15:30-16:30,IS001,MN - 20IS620 - ISE-6
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,SG - 20IS642 - ISE-6
16:30-17:30,IS002,VL - 22IS410 - ISE-4B
16:30-17:30,IS103,No class scheduled
16:30-17:30,IS001,DSV - 22CB210 - CSBS-2
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
