Time Slot,Room,Class
7:30-8:30,IS101,TSK - 22IS420 - ISE-4A
7:30-8:30,IS002,MN - 20IS620 - ISE-6
7:30-8:30,IS103,VHY - 20CB620 - CSBS-6
7:30-8:30,IS001,VA - 22CB440 - CSBS-4
7:30-8:30,ISLAB1,RMN + SU - B2-22CB240L - CSBS-2
7:30-8:30,ISLAB2,TM + VL - B2-22IS47L - ISE-4B
8:30-9:30,IS101,VA - 22CB440 - CSBS-4
8:30-9:30,IS002,SG - 20IS642 - ISE-6
8:30-9:30,IS103,SN - 20CB673 - CSBS-6
8:30-9:30,IS001,RSA - 22IS430 - ISE-4A
8:30-9:30,ISLAB1,RMN + SU - B2-22CB240L - CSBS-2
8:30-9:30,ISLAB2,TM + VL - B2-22IS47L - ISE-4B
9:30-10:30,IS101,RMN - 22CB240 - CSBS-2
9:30-10:30,IS002,MN - 20IS620 - ISE-6
9:30-10:30,IS103,VBK - 20CB662 - CSBS-6
9:30-10:30,IS001,NA - 22IS440 - ISE-4A
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,TM + VL - B2-22IS47L - ISE-4B
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,CSB - 22HU412 - ISE-4A [PRE-ALLOTTED]
11:00-11:50,IS002,No class scheduled
11:00-11:50,IS103,VHY - 20CB620 - CSBS-6
11:00-11:50,IS001,NA - 22IS440 - ISE-4B
11:00-11:50,ISLAB1,VBK + RSA - 22CB410L - CSBS-4
11:00-11:50,ISLAB2,LMS + VA - 20IS67L - ISE-6
11:50-12:40,IS101,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
11:50-12:40,IS002,No class scheduled
11:50-12:40,IS103,SP - 20CB630 - CSBS-6
11:50-12:40,IS001,AHK - 22MA412 - ISE-4A [PRE-ALLOTTED]
11:50-12:40,ISLAB1,VBK + RSA - 22CB410L - CSBS-4
11:50-12:40,ISLAB2,LMS + VA - 20IS67L - ISE-6
12:40-13:30,IS101,SU - 22HU412 - ISE-4B [PRE-ALLOTTED]
12:40-13:30,IS002,No class scheduled
12:40-13:30,IS103,VBK - 20CB662 - CSBS-6
12:40-13:30,IS001,RSA - 22IS430 - ISE-4A
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,LMS + VA - 20IS67L - ISE-6
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,VA - 22CB440 - CSBS-4
14:30-15:30,IS002,SG - 20IS642 - ISE-6
14:30-15:30,IS103,SP - 20CB630 - CSBS-6
14:30-15:30,IS001,RSA - 22IS430 - ISE-4A
14:30-15:30,ISLAB1,TM + RMN - B2-22CB230L - CSBS-2
14:30-15:30,ISLAB2,SAS + NA - B1-22IS46L - ISE-4B
15:30-16:30,IS101,VA - 22CB440 - CSBS-4
15:30-16:30,IS002,No class scheduled
15:30-16:30,IS103,SP - 20CB630 - CSBS-6
15:30-16:30,IS001,RSA - 22IS430 - ISE-4A
15:30-16:30,ISLAB1,TM + RMN - B2-22CB230L - CSBS-2
15:30-16:30,ISLAB2,SAS + NA - B1-22IS46L - ISE-4B
16:30-17:30,IS101,RMN - 22CB240 - CSBS-2
16:30-17:30,IS002,No class scheduled
16:30-17:30,IS103,VHY - 20CB620 - CSBS-6
16:30-17:30,IS001,VA - 22CB440 - CSBS-4
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,SAS + NA - B1-22IS46L - ISE-4B
