Time Slot,Room,Class
7:30-8:30,IS101,RSA -  22IS430 -  ISE-4A
7:30-8:30,IS102,TM -  22CB230 -  CSBS-2
7:30-8:30,IS103,AHK -  22MA412 -  ISE-4B
7:30-8:30,ISLAB1,RJP+LMS -  22CB410L -  CSBS-4
7:30-8:30,ISLAB2,LMS+VA -  20IS67L -  ISE-6
8:30-9:30,IS101,LMS -  22CB250 -  CSBS-2
8:30-9:30,IS102,VL -  22IS410 -  ISE-4A
8:30-9:30,IS103,VBK -  20CB662 -  CSBS-6
8:30-9:30,ISLAB1,RJP+LMS -  22CB410L -  CSBS-4
8:30-9:30,ISLAB2,LMS+VA -  20IS67L -  ISE-6
9:30-10:30,IS101,PM -  22CB260 -  CSBS-2
9:30-10:30,IS102,NA -  22IS440 -  ISE-4A
9:30-10:30,IS103,PMKS -  22CB430 -  CSBS-4
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,LMS+VA -  20IS67L -  ISE-6
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,NC -  22CB220 -  CSBS-2
11:00-11:50,IS102,MN -  20IS620 -  ISE-6
11:00-11:50,IS103,SN -  20CB673 -  CSBS-6
11:00-11:50,ISLAB1,MPS+NA -  B2-22IS47L -  ISE-4A
11:00-11:50,ISLAB2,TM+VBK -  B2-22IS47L -  ISE-4B
11:50-12:40,IS101,RMN -  22CB240 -  CSBS-2
11:50-12:40,IS102,SG -  20IS642 -  ISE-6
11:50-12:40,IS103,PM -  20CB650 -  CSBS-6
11:50-12:40,ISLAB1,MPS+NA -  B2-22IS47L -  ISE-4A
11:50-12:40,ISLAB2,TM+VBK -  B2-22IS47L -  ISE-4B
12:40-13:30,IS101,RMN -  22CB240 -  CSBS-2
12:40-13:30,IS102,SG -  20IS642 -  ISE-6
12:40-13:30,IS103,VA -  22CB440 -  CSBS-4
12:40-13:30,ISLAB1,MPS+NA -  B2-22IS47L -  ISE-4A
12:40-13:30,ISLAB2,TM+VBK -  B2-22IS47L -  ISE-4B
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,RMN -  22CB240 -  CSBS-2
14:30-15:30,IS102,NA -  22IS440 -  ISE-4B
14:30-15:30,IS103,SP -  20CB630 -  CSBS-6
14:30-15:30,ISLAB1,MPS+SR -  B1-22IS47L -  ISE-4A
14:30-15:30,ISLAB2,CKR+SG -  20IS67L -  ISE-6
15:30-16:30,IS101,NC -  22CB220 -  CSBS-2
15:30-16:30,IS102,VL -  22IS410 -  ISE-4B
15:30-16:30,IS103,SG -  22CB450 -  CSBS-4
15:30-16:30,ISLAB1,MPS+SR -  B1-22IS47L -  ISE-4A
15:30-16:30,ISLAB2,CKR+SG -  20IS67L -  ISE-6
16:30-17:30,IS101,TSK -  22IS420 -  ISE-4B
16:30-17:30,IS102,NC -  22CB220 -  CSBS-2
16:30-17:30,IS103,VBK -  20CB662 -  CSBS-6
16:30-17:30,ISLAB1,MPS+SR -  B1-22IS47L -  ISE-4A
16:30-17:30,ISLAB2,CKR+SG -  20IS67L -  ISE-6
