Time Slot,Room,Class
7:30-8:30,IS101,MN - 20IS620 - ISE-6
7:30-8:30,IS102,LMS - 22CB250 - CSBS-2
7:30-8:30,IS103,KD - 20CB640 - CSBS-6
7:30-8:30,ISLAB1,MPS+NA - B2-22IS47L - ISE-4A
7:30-8:30,ISLAB2,SAS+RSA - B1-22IS46L - ISE-4B
8:30-9:30,IS101,LMS - 20IS610 - ISE-6
8:30-9:30,IS102,RMN - 22CB240 - CSBS-2
8:30-9:30,IS103,VHY - 20CB620 - CSBS-6
8:30-9:30,ISLAB1,MPS+NA - B2-22IS47L - ISE-4A
8:30-9:30,ISLAB2,SAS+RSA - B1-22IS46L - ISE-4B
9:30-10:30,IS101,VHY - 20CB620 - CSBS-6
9:30-10:30,IS102,LMS - 20IS610 - ISE-6
9:30-10:30,IS103,DSV - 22CB210 - CSBS-2
9:30-10:30,ISLAB1,MPS+NA - B2-22IS47L - ISE-4A
9:30-10:30,ISLAB2,SAS+RSA - B1-22IS46L - ISE-4B
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,NA - 22IS440 - ISE-4B
11:00-11:50,IS102,CSB - 22HU412 - ISE-4A [PRE-ALLOTTED]
11:00-11:50,IS103,RMN - 22CB240 - CSBS-2
11:00-11:50,ISLAB1,UKK+TM - 22CB610L - CSBS-6
11:00-11:50,ISLAB2,CKR+SG - 20IS67L - ISE-6
11:50-12:40,IS101,AHK - 22MA412 - ISE-4A [PRE-ALLOTTED]
11:50-12:40,IS102,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
11:50-12:40,IS103,VL - 22IS410 - ISE-4B
11:50-12:40,ISLAB1,UKK+TM - 22CB610L - CSBS-6
11:50-12:40,ISLAB2,CKR+SG - 20IS67L - ISE-6
12:40-13:30,IS101,NA - 22IS440 - ISE-4A
12:40-13:30,IS102,SU - 22HU412 - ISE-4B [PRE-ALLOTTED]
12:40-13:30,IS103,SN - 20CB673 - CSBS-6
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,CKR+SG - 20IS67L - ISE-6
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,VA - 22CB440 - CSBS-4
14:30-15:30,IS102,CKR - 20IS630 - ISE-6
14:30-15:30,IS103,SN - 20CB673 - CSBS-6
14:30-15:30,ISLAB1,VL+VP - B1-22IS46L - ISE-4A
14:30-15:30,ISLAB2,TM+VBK - B2-22IS47L - ISE-4B
15:30-16:30,IS101,PMKS - 22CB430 - CSBS-4
15:30-16:30,IS102,LMS - 20IS610 - ISE-6
15:30-16:30,IS103,SP - 20CB630 - CSBS-6
15:30-16:30,ISLAB1,VL+VP - B1-22IS46L - ISE-4A
15:30-16:30,ISLAB2,TM+VBK - B2-22IS47L - ISE-4B
16:30-17:30,IS101,MN - 20IS620 - ISE-6
16:30-17:30,IS102,DSV - 22CB210 - CSBS-2
16:30-17:30,IS103,SP - 20CB630 - CSBS-6
16:30-17:30,ISLAB1,VL+VP - B1-22IS46L - ISE-4A
16:30-17:30,ISLAB2,TM+VBK - B2-22IS47L - ISE-4B
