Time Slot,Room,Class
7:30-8:30,IS101,SN - 20CB673 - CSBS-6
7:30-8:30,IS102,TSK - 22IS420 - ISE-4A
7:30-8:30,IS103,VL - 22IS410 - ISE-4B
7:30-8:30,ISLAB1,TM+MN - B2-22CB230L - CSBS-2
7:30-8:30,ISLAB2,RJP+LMS - 22CB410L - CSBS-4
8:30-9:30,IS101,UKK - 20CB610 - CSBS-6
8:30-9:30,IS102,AHK - 22MA412 - ISE-4A [PRE-ALLOTTED]
8:30-9:30,IS103,TSK - 22IS420 - ISE-4B
8:30-9:30,ISLAB1,TM+MN - B2-22CB230L - CSBS-2
8:30-9:30,ISLAB2,RJP+LMS - 22CB410L - CSBS-4
9:30-10:30,IS101,KD - 20CB640 - CSBS-6
9:30-10:30,IS102,VL - 22IS410 - ISE-4A
9:30-10:30,IS103,VA - 22CB440 - CSBS-4
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,AHK - 22MA412 - ISE-4B [PRE-ALLOTTED]
11:00-11:50,IS102,CSB - 20HU412 - CSBS-4 [PRE-ALLOTTED]
11:00-11:50,IS103,MPS - 22IS450 - ISE-4A
11:00-11:50,ISLAB1,UKK+PMKS - 22CB610L - CSBS-6
11:00-11:50,ISLAB2,TM+MN - B1-22CB230L - CSBS-2
11:50-12:40,IS101,RSA - 22IS430 - ISE-4B
11:50-12:40,IS102,SG - 22CB450 - CSBS-4
11:50-12:40,IS103,TSK - 22IS420 - ISE-4A
11:50-12:40,ISLAB1,UKK+PMKS - 22CB610L - CSBS-6
11:50-12:40,ISLAB2,TM+MN - B1-22CB230L - CSBS-2
12:40-13:30,IS101,VHY - 20CB620 - CSBS-6
12:40-13:30,IS102,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
12:40-13:30,IS103,NA - 22IS440 - ISE-4B
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,VBK - 20CB662 - CSBS-6
14:30-15:30,IS102,NA - 22IS440 - ISE-4A
14:30-15:30,IS103,VA - 22CB440 - CSBS-4
14:30-15:30,ISLAB1,VL+VP - B2-22IS46L - ISE-4B
14:30-15:30,ISLAB2,RMN+NoOne - B2-22CB240L - CSBS-2
15:30-16:30,IS101,VBK - 20CB662 - CSBS-6
15:30-16:30,IS102,VA - 22CB440 - CSBS-4
15:30-16:30,IS103,RSA - 22IS430 - ISE-4A
15:30-16:30,ISLAB1,VL+VP - B2-22IS46L - ISE-4B
15:30-16:30,ISLAB2,RMN+NoOne - B2-22CB240L - CSBS-2
16:30-17:30,IS101,RSA - 22IS430 - ISE-4A
16:30-17:30,IS102,SG - 22CB450 - CSBS-4
16:30-17:30,IS103,SN - 20CB673 - CSBS-6
16:30-17:30,ISLAB1,VL+VP - B2-22IS46L - ISE-4B
16:30-17:30,ISLAB2,No class scheduled
