Time Slot,Room,Class
7:30-8:30,IS101,RJP - 22CB420 - CSBS-4
7:30-8:30,IS102,TSK - 22IS420 - ISE-4A
7:30-8:30,IS103,TM - 22IS450 - ISE-4B
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,VBK - 22CB410 - CSBS-4
8:30-9:30,IS102,TSK - 22IS420 - ISE-4A
8:30-9:30,IS103,TM - 22IS450 - ISE-4B
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,FELIX - 22CB460 - CSBS-4
9:30-10:30,IS102,SU - 22HU412 - ISE-4B [PRE-ALLOTTED]
9:30-10:30,IS103,TM - 22CB230 - CSBS-2
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
11:00-11:50,IS102,CSB - 20HU412 - CSBS-4 [PRE-ALLOTTED]
11:00-11:50,IS103,AHK - 22MA412 - ISE-4B [PRE-ALLOTTED]
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,RJP - 22CB420 - CSBS-4
11:50-12:40,IS102,PM - 22CB260 - CSBS-2 [PRE-ALLOTTED]
11:50-12:40,IS103,TM - 22IS450 - ISE-4B
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,PMKS - 22CB430 - CSBS-4
12:40-13:30,IS102,TSK - 22IS420 - ISE-4B
12:40-13:30,IS103,TM - 22CB230 - CSBS-2
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,PMKS - 22CB430 - CSBS-4
14:30-15:30,IS102,VL - 22IS410 - ISE-4B
14:30-15:30,IS103,No class scheduled
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,VBK - 22CB410 - CSBS-4
15:30-16:30,IS102,TSK - 22IS420 - ISE-4B
15:30-16:30,IS103,No class scheduled
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,No class scheduled
16:30-17:30,IS102,NA - 22IS440 - ISE-4B
16:30-17:30,IS103,No class scheduled
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
