Time Slot,Room,Class
7:30-8:30,IS101,RSA -  22IS430 -  ISE-4A
7:30-8:30,IS102,No class scheduled
7:30-8:30,IS103,No class scheduled
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,NA -  22IS440 -  ISE-4A
8:30-9:30,IS102,No class scheduled
8:30-9:30,IS103,No class scheduled
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,VL -  22IS410 -  ISE-4A
9:30-10:30,IS102,No class scheduled
9:30-10:30,IS103,No class scheduled
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,VL -  22IS410 -  ISE-4A
11:00-11:50,IS102,No class scheduled
11:00-11:50,IS103,No class scheduled
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,NA -  22IS440 -  ISE-4A
11:50-12:40,IS102,No class scheduled
11:50-12:40,IS103,No class scheduled
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,RSA -  22IS430 -  ISE-4A
12:40-13:30,IS102,No class scheduled
12:40-13:30,IS103,No class scheduled
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,No class scheduled
14:30-15:30,IS102,No class scheduled
14:30-15:30,IS103,No class scheduled
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,No class scheduled
15:30-16:30,IS102,No class scheduled
15:30-16:30,IS103,No class scheduled
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,No class scheduled
16:30-17:30,IS102,No class scheduled
16:30-17:30,IS103,No class scheduled
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
