Time Slot,Room,Class
7:30-8:30,IS101,NA - 22IS440 - ISE-4A
7:30-8:30,IS102,MDL - 20HU612 - CSBS-6 [PRE-ALLOTTED]
7:30-8:30,IS103,No class scheduled
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,VL - 22IS410 - ISE-4A
8:30-9:30,IS102,KD - 20CB640 - CSBS-6 [PRE-ALLOTTED]
8:30-9:30,IS103,No class scheduled
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,VL - 22IS410 - ISE-4A
9:30-10:30,IS102,KD - 20CB640 - CSBS-6 [PRE-ALLOTTED]
9:30-10:30,IS103,No class scheduled
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,None
10:30-11:00,IS102,None
10:30-11:00,IS103,None
10:30-11:00,ISLAB1,None
10:30-11:00,ISLAB2,None
11:00-11:50,IS101,SN - 20CB673 - CSBS-6
11:00-11:50,IS102,MDL - 20HU612 - ISE-6 [PRE-ALLOTTED]
11:00-11:50,IS103,RSA - 22IS430 - ISE-4A
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,MN - 20IS620 - ISE-6
11:50-12:40,IS102,AHK - 22MA412 - ISE-4A [PRE-ALLOTTED]
11:50-12:40,IS103,No class scheduled
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,SN - 20CB673 - CSBS-6
12:40-13:30,IS102,MDL - 20HU612 - ISE-6 [PRE-ALLOTTED]
12:40-13:30,IS103,RSA - 22IS430 - ISE-4A
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,None
13:30-14:30,IS102,None
13:30-14:30,IS103,None
13:30-14:30,ISLAB1,None
13:30-14:30,ISLAB2,None
14:30-15:30,IS101,RSA - 22IS430 - ISE-4A
14:30-15:30,IS102,CKR - 20IS630 - ISE-6
14:30-15:30,IS103,No class scheduled
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,VHY - 20CB620 - CSBS-6
15:30-16:30,IS102,CKR - 20IS630 - ISE-6
15:30-16:30,IS103,RSA - 22IS430 - ISE-4A
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,NA - 22IS440 - ISE-4B
16:30-17:30,IS102,SP - 20CB630 - CSBS-6
16:30-17:30,IS103,No class scheduled
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
